термин tf idf tf-idf
познавательный 0.000546 2.350497 0.001283
бухгалтерия 0.000546 2.765535 0.001510
пошаговый 0.000546 2.212994 0.001208
час 0.001092 1.765535 0.001928
впечатление 0.001638 1.148863 0.001882
заведение 0.001092 0.133267 0.000146
гость 0.000546 0.133267 0.000073
особенно 0.001638 1.462972 0.002396
большой 0.001092 0.584963 0.000639
рыжов 0.002185 6.672425 0.014579
хороший 0.003277 0.057715 0.000189
второй 0.000546 2.86507 0.001564
месяц 0.001092 0.368645 0.000403
интеллектуальный 0.001092 0.117836 0.000129
свободный 0.000546 1.628031 0.000889
друг 0.002185 1.350497 0.002951
одобрить 0.000546 0.86507 0.000472
довольный 0.000546 1.350497 0.000737
практический 0.003277 0.350497 0.001149
анжелика 0.000546 6.672425 0.003643
правило 0.000546 3.350497 0.001829
пересматривать 0.001638 3.212994 0.005263
составление 0.000546 3.212994 0.001754
нужно 0.001092 0.263034 0.000287
эксель 0.000546 5.672425 0.003097
агрегатор 0.000546 0.133267 0.000073
понятный 0.001638 1.628031 0.002667
кругозор 0.000546 3.86507 0.002110
анастасия 0.000546 1.971986 0.001077
донести 0.000546 6.672425 0.003643
описание 0.001638 0.971986 0.001592
эмоция 0.000546 4.672425 0.002551
бухгалтер 0.001092 2.971986 0.003245
конец 0.001638 1.543142 0.002528
проверяться 0.001092 0.814444 0.000889
точно 0.000546 1.971986 0.001077
пытаться 0.000546 2.148863 0.001173
китляйн 0.000546 6.672425 0.003643
подходящий 0.000546 0.280108 0.000153
эльвира 0.000546 4.672425 0.002551
модуль 0.001092 1.424498 0.001556
процесс 0.001092 0.563901 0.000616
выдаваться 0.001092 1.087463 0.001188
вступить 0.000546 6.672425 0.003643
новичок 0.001638 0.443607 0.000727
именной 0.000546 4.350497 0.002375
блог 0.001638 0.0 0.000000
выполнение 0.000546 1.0 0.000546
искренне 0.000546 6.672425 0.003643
инструкция 0.000546 3.672425 0.002005
моделировать 0.000546 5.672425 0.003097
рейниша 0.000546 6.672425 0.003643
обучать 0.001092 0.117836 0.000129
открытие 0.000546 5.087463 0.002778
диплом 0.000546 0.789782 0.000431
учёт 0.000546 2.765535 0.001510
шамар 0.000546 6.672425 0.003643
сухость 0.000546 6.672425 0.003643
отражаться 0.000546 6.672425 0.003643
соглашение 0.000546 0.133267 0.000073
онлайн 0.003823 0.117836 0.000450
получиться 0.000546 3.350497 0.001829
мочь 0.001638 0.0 0.000000
позитивный 0.000546 2.584963 0.001411
стратегия 0.000546 1.584963 0.000865
учебный 0.001092 0.0 0.000000
товар 0.000546 4.087463 0.002232
отзаниматься 0.000546 5.087463 0.002778
вкус 0.000546 3.5025 0.001912
заявка 0.000546 2.280108 0.001245
фотография 0.000546 1.765535 0.000964
леонид 0.000546 6.672425 0.003643
потребоваться 0.000546 3.86507 0.002110
порядок 0.000546 3.212994 0.001754
фамилия 0.000546 0.133267 0.000073
личный 0.004369 0.297386 0.001299
приходиться 0.001092 2.148863 0.002347
нарастать 0.000546 6.672425 0.003643
продвинуть 0.000546 1.86507 0.001018
проводить 0.000546 1.628031 0.000889
необходимость 0.000546 2.584963 0.001411
оно 0.000546 4.087463 0.002232
приятный 0.000546 1.5025 0.000820
легко 0.000546 1.462972 0.000799
оценить 0.000546 1.424498 0.000778
выгодно 0.000546 3.86507 0.002110
давать 0.001092 0.891066 0.000973
сравнение 0.000546 1.028569 0.000562
каждый 0.003277 0.133267 0.000437
нужный 0.001092 0.814444 0.000889
татьяна 0.002185 1.86507 0.004075
улучшать 0.000546 5.672425 0.003097
куратор 0.000546 1.543142 0.000843
насыщенный 0.000546 1.280108 0.000699
служба 0.000546 1.765535 0.000964
сколько 0.000546 2.280108 0.001245
имя 0.000546 0.014214 0.000008
домашний 0.004915 0.443607 0.002180
развернуть 0.000546 1.917538 0.001047
сценарий 0.000546 3.672425 0.002005
длиться 0.001092 1.765535 0.001928
проджект 0.002185 6.672425 0.014579
прибыль 0.001092 4.087463 0.004464
понедельник 0.000546 5.672425 0.003097
случай 0.000546 1.971986 0.001077
интересовать 0.000546 0.584963 0.000319
разместить 0.001092 0.117836 0.000129
возможность 0.001092 0.765535 0.000836
расширение 0.000546 4.350497 0.002375
алексей 0.000546 2.424498 0.001324
маркетолог 0.000546 2.212994 0.001208
бизнес 0.005461 0.117836 0.000644
календарь 0.000546 6.672425 0.003643
аналитик 0.003823 1.718229 0.006569
изменение 0.001092 2.672425 0.002918
нибыть 0.000546 2.028569 0.001108
человек 0.000546 1.180572 0.000645
убыток 0.001092 4.672425 0.005102
ит 0.000546 6.672425 0.003643
однокурсник 0.000546 5.087463 0.002778
тратить 0.000546 1.917538 0.001047
визуальный 0.001092 0.133267 0.000146
рассказывать 0.002731 1.028569 0.002809
подача 0.003277 1.028569 0.003371
перейти 0.000546 1.057715 0.000578
деятельность 0.000546 3.5025 0.001912
подготовить 0.000546 2.584963 0.001411
выполнить 0.000546 1.672425 0.000913
курушина 0.000546 6.672425 0.003643
замечание 0.000546 2.765535 0.001510
преподаватель 0.004915 0.263034 0.001293
доступ 0.002185 0.424498 0.000928
стратегический 0.001092 5.672425 0.006194
администратор 0.000546 5.672425 0.003097
придираться 0.000546 3.087463 0.001686
собственник 0.000546 4.672425 0.002551
проверять 0.001092 1.314873 0.001436
видео 0.001638 0.789782 0.001294
платформа 0.002731 0.891066 0.002434
проект 0.001092 0.0 0.000000
белин 0.001638 6.672425 0.010929
преподавать 0.001092 2.672425 0.002918
целое 0.001638 1.212994 0.001987
настасья 0.000546 6.672425 0.003643
вода 0.001638 0.86507 0.001417
синхронизировать 0.000546 5.672425 0.003097
начало 0.000546 1.246161 0.000680
обучаться 0.001638 0.789782 0.001294
рейтинг 0.000546 1.543142 0.000843
чат 0.000546 0.891066 0.000487
сидеть 0.001092 2.148863 0.002347
рабочий 0.001092 1.462972 0.001598
сложно 0.001092 1.628031 0.001778
советовать 0.000546 2.028569 0.001108
отправить 0.000546 0.10257 0.000056
пункт 0.000546 5.672425 0.003097
моментально 0.000546 5.672425 0.003097
урок 0.002731 0.297386 0.000812
особый 0.000546 6.672425 0.003643
рубрикатор 0.000546 0.350497 0.000191
лично 0.000546 2.584963 0.001411
понять 0.000546 1.028569 0.000562
шаблон 0.001092 2.350497 0.002567
пригодиться 0.001638 1.718229 0.002814
всё 0.0071 0.014214 0.000101
базовый 0.001092 1.628031 0.001778
пауэр 0.000546 6.672425 0.003643
иметь 0.000546 1.424498 0.000778
сталкиваться 0.000546 5.087463 0.002778
понятно 0.001638 1.672425 0.002739
пара 0.000546 1.628031 0.000889
кейс 0.000546 1.180572 0.000645
упрощать 0.000546 2.86507 0.001564
теоретический 0.000546 1.584963 0.000865
содержать 0.000546 0.180572 0.000099
просьба 0.000546 2.672425 0.001459
финансовый 0.006554 2.765535 0.018125
фишка 0.001092 5.672425 0.006194
стоять 0.000546 3.672425 0.002005
обратный 0.002731 0.072512 0.000198
радость 0.000546 5.087463 0.002778
живой 0.000546 2.087463 0.001140
фактор 0.000546 4.672425 0.002551
наталья 0.002185 1.5025 0.003283
презентация 0.001092 1.971986 0.002153
яндекс 0.001092 0.133267 0.000146
успех 0.000546 2.672425 0.001459
очень 0.002731 1.387023 0.003788
юмор 0.001092 6.672425 0.007286
благодаря 0.000546 1.814444 0.000991
около 0.000546 0.133267 0.000073
запомниться 0.000546 5.672425 0.003097
практиковать 0.000546 2.087463 0.001140
доказывать 0.000546 5.672425 0.003097
клиент 0.000546 1.462972 0.000799
организационный 0.000546 5.087463 0.002778
лист 0.001092 1.718229 0.001876
рекомендовать 0.002185 0.5025 0.001098
чувствовать 0.000546 2.672425 0.001459
профессионал 0.000546 0.584963 0.000319
кабинет 0.003823 0.387023 0.001480
валериевич 0.000546 6.672425 0.003643
видеолекция 0.000546 1.5025 0.000820
взрыв 0.000546 6.672425 0.003643
крыщенко 0.000546 6.672425 0.003643
увлекательный 0.000546 1.387023 0.000757
максим 0.001092 1.814444 0.001981
респект 0.000546 6.672425 0.003643
опубликовать 0.000546 0.628031 0.000343
время 0.002731 0.014214 0.000039
покрыть 0.001092 6.672425 0.007286
впечатлить 0.000546 6.672425 0.003643
далее 0.002185 0.584963 0.001278
работа 0.0071 0.10257 0.000728
таблица 0.001092 2.212994 0.002417
лаба 0.0071 3.86507 0.027442
комментарий 0.004369 0.10257 0.000448
хватить 0.001092 4.672425 0.005102
полина 0.000546 2.5025 0.001366
финансы 0.001092 0.133267 0.000146
купить 0.000546 0.814444 0.000445
