term 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102
абрикос 0.015690 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
абс 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.003097 0 0 0 0 0 0 0 0 0 0 0 0
абсолютно 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.001485 0 0 0 0 0.001464 0 0 0 0 0 0.004616 0 0 0.001517 0.001471 0 0 0 0 0 0 0 0 0.001513 0 0 0.001489 0 0 0 0 0 0 0.001520 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
абстрактный 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.001037 0 0 0 0 0.001056 0 0 0 0 0 0 0 0 0 0 0 0.001065 0.000985 0.001059 0 0 0 0 0 0 0 0 0 0 0 0 0 0.001059 0.001065 0 0.001062 0 0 0 0.001062 0 0 0 0.001047 0 0 0 0.001050 0 0 0 0 0 0
аветисян 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.002677 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.002953 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.002846 0 0 0 0 0 0 0 0 0 0 0 0 0
авиационный 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.004822 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
австралия 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.004507 0 0 0.005128 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
автоворонка 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.004702 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
автомат 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.001961 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.001920 0.001923 0.001930 0.001973 0.001964 0.001945 0.001954 0 0.002013 0.002016 0.001995 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
автоматизация 0 0 0 0 0 0 0 0 0 0 0 0.003122 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.003959 0 0.002703 0.002604 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.004752 0.004113 0 0 0.001535 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
автоматизированноить 0 0 0 0 0 0 0 0 0 0 0 0.002411 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
автоматизированный 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.002763 0 0 0 0 0.002623 0 0 0 0 0 0 0 0 0 0 0 0 0.004764 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.001827 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
автоматизировать 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.001037 0 0 0 0 0.001056 0 0 0 0 0 0 0 0 0 0 0 0.001065 0.000985 0.001059 0 0 0 0 0 0 0 0 0 0 0 0 0 0.001059 0.001065 0 0.001062 0 0 0 0.001062 0 0 0 0.001047 0 0 0 0.001050 0 0 0 0 0 0
